"time","LT0","LT1","RBC0","RBC1","GM0","GM1","BMrec0","BMrec1","cd4rec0","cd8rec0","cd4rec1","cd8rec1"
0,1000,100,0,0,0,0,0,0,0,0,0,0
0.5,1003.20771825948,100.320771825948,0.000546312911721419,5.46312911721419e-05,322.047689455516,32.2047689455515,0.00148391815602856,0.000148391815602856,2.3316095693316e-19,3.89054128141623e-20,2.3316095693316e-20,3.89054128141623e-21
1,1006.36063800779,100.636063800779,1.43667682625464,0.143667682625464,34243.6318180713,3424.36318180713,0.205305862071604,0.0205305862071603,5.90186172944623e-14,9.88101606103463e-15,5.90186172944065e-15,9.88101606102444e-16
1.5,1009.45929798818,100.945929798818,123.158442221436,12.3158442221436,383558.362174761,38355.8362174761,3.0577765295968,0.30577765295968,5.62104193972345e-11,9.45984587445774e-12,5.62104193972233e-12,9.45984587445588e-13
2,1012.50424818799,101.250424818799,2632.14024440379,263.214024440379,1811767.02110921,181176.702110921,18.8616993547464,1.88616993547464,5.77097798214164e-09,9.77698143185226e-10,5.77097798214164e-10,9.77698143185227e-11
2.5,1015.49604901712,101.549604901712,26477.1412236039,2647.71412236038,5479452.01200093,547945.201200092,73.0445734082411,7.30445734082411,1.79909864603687e-07,3.07174604953144e-08,1.79909864603687e-08,3.07174604953144e-09
3,1018.43527050636,101.843527050636,166162.940752421,16616.2940752421,12687700.9847198,1268770.09847198,212.955821734172,21.2955821734172,2.68537054235612e-06,4.62456679208346e-07,2.68537054235612e-07,4.62456679208346e-08
3.5,1021.32249152595,102.132249152595,755513.698210099,75551.3698210098,24651977.3051569,2465197.73051569,513.797326079163,51.3797326079163,2.43916987471465e-05,4.23939161705073e-06,2.43916987471464e-06,4.23939161705071e-07
4,1024.15829902478,102.415829902478,2719828.29271658,271982.829271658,42365055.7876346,4236505.57876346,1084.04492245349,108.404492245349,0.000155273484813185,2.72475990856272e-05,1.55273484813184e-05,2.72475990856271e-06
4.5,1026.94328729049,102.694328729049,8206294.25153604,820629.425153604,66537726.9235636,6653772.69235636,2070.81589458931,207.081589458931,0.000757825427435545,0.000134300719313056,7.57825427435543e-05,1.34300719313055e-05
5,1029.6780572303,102.96780572303,21569148.2880474,2156914.82880474,97591866.8229987,9759186.68229984,3665.57034165473,366.557034165473,0.00301227869749563,0.000539187310099947,0.000301227869748455,5.39187310098199e-05
5.5,1032.36321567551,103.236321567551,50756457.5171723,5075645.75171723,135684112.665318,13568411.2665318,6110.46096409339,611.046096409339,0.0101744035065721,0.00183952601168506,0.00101744035065719,0.000183952601168503
6,1034.9993747029,103.49993747029,109106458.065351,10910645.8065351,180744850.06282,18074485.006282,9705.59650297126,970.559650297126,0.0301173237164162,0.00549986747117354,0.00301173237164327,0.000549986747117193
6.5,1037.58715098095,103.758715098095,217520523.326665,21752052.3326665,232522654.077422,23252265.4077422,14817.4580295618,1481.74580295618,0.079955026806835,0.0147463157459463,0.00799550268068362,0.00147463157459464
7,1040.12716514205,104.012716514205,406943107.77923,40694310.7779231,290628235.487995,29062823.5487995,21888.6998838816,2188.86998838816,0.193766126975293,0.0360880105431917,0.0193766126975303,0.00360880105431929
7.5,1042.62004116343,104.262004116343,721050520.352494,72105052.0352495,354574589.461929,35457458.9461929,31449.5751923249,3144.95751923249,0.43462458494776,0.0817295289023746,0.043462458494782,0.00817295289023771
8,1045.06640578287,104.506640578287,1219031936.73342,121903193.673343,423811758.573353,42381175.8573354,44131.2430290099,4413.12430290099,0.912276159921023,0.173178248920343,0.0912276159921298,0.0173178248920354
8.5,1047.46688792899,104.746688792899,1978337937.99625,197833793.799625,497755708.060393,49775570.8060394,60681.2432196356,6068.12432196356,1.80785852248657,0.346377426165073,0.180785852248769,0.0346377426165118
9,1049.82211817536,104.982211817536,3097273004.84442,309727300.484442,575811451.055897,57581145.1055898,81981.4596599638,8198.14596599637,3.40704080618397,0.658706060647258,0.340704080618809,0.0658706060647424
9.5,1052.13272821351,105.213272821351,4697316943.50526,469731694.350526,657390919.329316,65739091.9329315,109068.935029968,10906.8935029968,6.14285362404989,1.19817885036544,0.614285362406371,0.1198178850366
10,1054.39935034838,105.439935034838,6925074147.1489,692507414.714891,741926241.907606,74192624.1907605,143159.947350694,14315.9947350693,10.6492988512688,2.09515342717111,1.06492988513117,0.209515342717291
10.5,1056.62261701439,105.662261701438,9953766924.53271,995376692.453272,828879145.715276,82887914.5715277,185677.811930691,18567.781193069,17.8265816509345,3.53680898039277,1.78265816510584,0.353680898039809
11,1058.8031603112,105.880316031119,13984207687.488,1398420768.7488,917747173.513239,91774717.3513238,238284.926984395,23828.4926984394,28.9185079229874,5.78460210735899,2.89185079233231,0.578460210737373
11.5,1060.94161156,106.094161156,19245203835.3713,1924520383.53713,1008067355.53734,100806735.553734,302919.641532249,30291.9641532248,45.6022584396839,9.19483596374401,4.56022584405427,0.91948359637825
12,1063.03860087939,106.303860087939,25993366670.0899,2599336667.009,1099417895.7255,109941789.57255,381838.580495769,38183.8580495768,70.0903991916884,14.2424001079448,7.00903991937728,1.42424001080402
12.5,1065.09475678062,106.509475678062,34512311963.8803,3451231196.38804,1191418350.87949,119141835.087949,477665.118120157,47766.5118120154,105.244636642612,21.5476554026198,10.5244636647435,2.15476554028452
13,1067.11070578193,106.711070578193,45111253956.484,4511125395.64842,1283728701.3598,128372870.13598,593444.736742474,59344.473674247,154.700487811897,31.9063537844946,15.4700487822584,3.1906353785004
